birdID,start_deployment,bodymass,P8,tarsus,tracker_mass
6295,15/06/2016,1270,198,117.5,21.9
6296,06/07/2016,1865,198,138.1,22.2
6298.1,07/07/2016,1465,187,138,22.2
6299,14/07/2016,1515,190,119.4,22.2
6301,15/07/2016,1365,185,119.4,22.1
6302,15/07/2016,1355,187,114.2,21.9
6304,28/07/2016,1565,190,142.4,21.6
6354,11/06/2017,1340,180,128.2,22.6
6358.1,12/06/2017,1290,176,117.3,22.6
6292,13/07/2017,1376,185,127,21.5
6374.1,17/07/2017,1460,179,116,21.8
6374.2,31/05/2018,1460,175,125,21.8
6381,21/06/2018,1640,192,123,21.9
6315,25/06/2018,1540,176,136,21.8
1607,25/06/2018,1520,170,136,24.6
6385,10/07/2018,1560,182,149,20.3
6386,10/07/2018,1740,177,140,20.4
