Chick.code.1,Parent.code,Date,SexParentSel,SexParentMol,SexChickSel,SexChickMol,ChickAge,Location,Latitude,Longitude,RingLocation,RingLatitude,RingLongitude,rnd
aB[21]/W[21],W/OR,26/06/2006,m,u,m,m,56,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.615052
aB[21]/W[21],W/OR,14/06/2006,m,u,m,m,44,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.432676
aB[E6]/W[E6],W[HY]/aW[HY],07/07/2006,f,u,m,m,53,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.597992
aBL/YBYf,W[U9]a/W[U9],06/07/2007,m,u,f,f,72,"Lauwersmeer, Jaap Deensgat",53.38333,6.23333,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.693215
aBY/YfBY,W[U9]a/W[U9],22/06/2007,m,u,m,m,53,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.492308
aBY/YfRY,B[K3]a/R[K3],07/06/2007,f,u,m,m,44,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.624823
aGB/YfGR,aW[EZ]/W[EZ],15/06/2007,f,u,f,f,46,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.515632
aGL/YfGR,G[AU]/aG[AU],15/06/2007,f,u,m,m,39,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.466056
aGL/YfGR,G[AU]/aG[AU],17/06/2007,f,u,m,m,41,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.320962
aGL/YfGR,G[AU]/aG[AU],18/06/2007,f,u,m,m,42,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.801388
aGN/NfPR,RYfR/RaY,18/07/2016,u,u,u,u,65,"Neeltje Jans, Inlaag",51.6268,3.7207,"Neeltje Jans, duingebied",51.6263,3.6924,0.794885
aGR/NfGR,,30/08/2018,NA,NA,u,u,68,"Groninger Kust, Hornhuizen wadrand HVP",53.2441,6.2016,"Rottumerplaat, Not specified",53.53333,6.45,0.474277
aGY/NfGN,RW[KY]/aW[KY],04/07/2016,u,u,u,u,58,"Neeltje Jans, Inlaag",51.6268,3.7207,"Neeltje Jans, duingebied",51.6263,3.6924,0.563593
aLB/GLYf,B[P]/O[Y]a,08/06/2007,f,u,m,m,44,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.35253
aLB/GLYf,B[P]/O[Y]a,06/06/2007,f,u,m,m,42,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.994201
aLG/BRYf,B[K7]a/R[K7],22/06/2007,m,u,f,f,44,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.737832
aLR/LRYf,R[AN]/aY[AN],06/06/2007,f,u,m,m,37,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.38598
aLR/LRYf,R[AN]/aY[AN],17/06/2007,f,u,m,m,48,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.16903
aLY/YfRY,aG[NN]/G[NN],06/06/2007,f,u,m,m,43,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.477199
aNN/NNfY,LBY/aBYf,21/08/2018,NA,NA,m,m,77,"Lauwersmeer, Achter de Zwarten",53.4,6.21667,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.601163
aNY/RNfR,,02/08/2018,NA,NA,m,m,82,"Rottumerplaat, bij de toren",53.5334,6.5052,"Rottumerplaat, Not specified",53.53333,6.45,0.813911
aO[BC]/O[BC],B[D]/B[H]a,11/07/1999,u,u,u,u,65,"Terschelling, Groede",53.4,5.43333,"Terschelling, Boschplaat 2e d.",53.41667,5.46667,0.134206
aO[DE]/O[DE],aB[E]/OG,13/07/1999,m,u,u,u,61,"Terschelling, Groede",53.4,5.43333,"Terschelling, Boschplaat 1e d.",53.41667,5.45,0.938085
aO[ER]/O[ER],B[P]/GW,13/07/1999,u,u,u,u,68,"Terschelling, Groede",53.4,5.43333,"Terschelling, Boschplaat 1e d.",53.41667,5.45,0.408246
aPG/PNfN,aW[KX]/B[KX],08/08/2017,f,f,m,m,40,"Groninger Kust, Hornhuizen wadrand HVP",53.2441,6.2016,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.516234
aPG/PNfR,,21/08/2018,NA,NA,m,m,87,"Lauwersmeer, Achter de Zwarten",53.4,6.21667,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.251937
aRB/YfLB,B[L6]a/R[L6],17/06/2007,m,u,m,m,45,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.161958
aRG/YNfG,NfPP/aNR,21/08/2018,m,m,m,m,88,"Lauwersmeer, Achter de Zwarten",53.4,6.21667,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.204985
aRL/RGYf,aG[DN]/G[DN],17/06/2007,f,u,m,m,38,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.643309
