"birdID","tagID","colourcode","sex","ageclass","start_deployment","end_deployment","mortality_date"
763,763,"aB[TU]/O[TU]","m","adult",2012-05-25,2099-12-31,2099-12-31
656,656,"LaG/RBYf","m","adult",2013-04-30,2099-12-31,2099-12-31
6118,6118,"GaG/YfGY","m","adult",2014-04-30,2099-12-31,2099-12-31
6066,6066,"aG[AB]/G[AB]","m","adult",2014-05-05,2099-12-31,2099-12-31
6067,6067,"aW[V4]/B[V4]","m","adult",2014-05-13,2099-12-31,2099-12-31
656,1609,"LaG/RBYf","m","adult",2015-05-15,2099-12-31,2099-12-31
656,6282,"LaG/RBYf","m","adult",2016-04-27,2099-12-31,2099-12-31
6284,6284,"GRL/aRYf","f","adult",2016-04-28,2016-11-05,2016-10-22
6285,6285,"LYfa/YLB","f","adult",2016-05-02,2099-12-31,2099-12-31
6287,6287,"W[L7]/aB[L7]","m","adult",2016-05-03,2099-12-31,2099-12-31
6288,6288,"NfPP/aNR","m","adult",2016-05-12,2099-12-31,2099-12-31
6289,6289,"NfGN/aYN","f","adult",2016-05-15,2099-12-31,2099-12-31
6291,6291,"aB[K2]/W[K2]","f","adult",2016-05-16,2099-12-31,2099-12-31
6284.2,6284,"aNY/NfGG","f","adult",2017-05-01,2099-12-31,2099-12-31
6298,6298,"B[Y6]/L[Y6]a","f","adult",2017-05-06,2099-12-31,2099-12-31
6358,6358,"GNfR/aRY","m","adult",2018-05-14,2099-12-31,2099-12-31
6295,6295,"aRN/NfGY","f","juvenile",2016-06-15,2099-12-31,2099-12-31
6296,6296,"aPP/NfNP","m","juvenile",2016-07-06,2099-12-31,2016-10-03
6298.1,6298,"aYN/NfGR","m","juvenile",2016-07-07,2017-04-30,2016-10-27
6299,6299,"NfGY/aNR","f","juvenile",2016-07-14,2099-12-31,2099-12-31
6301,6301,"NfPN/aPP","f","juvenile",2016-07-15,2099-12-31,2016-11-01
6302,6302,"NfPG/aNG","f","juvenile",2016-07-15,2099-12-31,2017-11-25
6304,6304,"aRY/NfYR","m","juvenile",2016-07-28,2099-12-31,2016-10-05
6354,6354,"YNfY/aYN","f","juvenile",2017-06-11,2099-12-31,2099-12-31
6358.1,6358,"PNfP/aPY","f","juvenile",2017-06-12,2018-03-01,2018-02-27
6292,6292,"aRP/RNfG","f","juvenile",2017-07-13,2099-12-31,2017-10-06
6374.1,6374,"aNR/RNfG","m","juvenile",2017-07-17,2018-01-26,2018-01-03
6381,6381,"aNN/NfGP","m","juvenile",2018-06-21,2099-12-31,2099-12-31
1607,1607,"aRY/YNfR","m","juvenile",2018-06-25,2099-12-31,2099-12-31
6315,6315,"aRG/YNfG","m","juvenile",2018-06-25,2099-12-31,2099-12-31
6385,6385,"YRNf/aPG","m","juvenile",2018-07-10,2099-12-31,2099-12-31
