"","model.name","K","d-2logL","dAICc","Akaike.weight"
"48","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.parent:z.age",9,"0.05","0.00","0.59"
"64","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.chick:z.age + sex.parent:z.age",10,"0.00","1.95","0.22"
"39","sex.parent + z.age + sex.parent:z.age",7,"7.23","3.18","0.12"
"40","sex.chick + sex.parent + z.age + sex.parent:z.age",8,"7.12","5.08","0.05"
"56","sex.chick + sex.parent + z.age + sex.chick:z.age + sex.parent:z.age",9,"7.07","7.02","0.02"
"16","sex.chick + sex.parent + z.age + sex.chick:sex.parent",8,"47.54","45.50","0.00"
"32","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.chick:z.age",9,"47.54","47.49","0.00"
"7","sex.parent + z.age",6,"57.83","51.78","0.00"
"12","sex.chick + sex.parent + sex.chick:sex.parent",7,"56.77","52.72","0.00"
"8","sex.chick + sex.parent + z.age",7,"57.69","53.64","0.00"
"24","sex.chick + sex.parent + z.age + sex.chick:z.age",8,"57.68","55.63","0.00"
"3","sex.parent",5,"67.06","59.01","0.00"
"4","sex.chick + sex.parent",6,"66.93","60.88","0.00"
"5","z.age",5,"685.59","677.54","0.00"
"6","sex.chick + z.age",6,"685.46","679.41","0.00"
"22","sex.chick + z.age + sex.chick:z.age",7,"685.44","681.40","0.00"
"1","",4,"694.79","684.74","0.00"
"2","sex.chick",5,"694.68","686.63","0.00"
