"","model.name","K","d-2logL","dAICc","Akaike.weight"
"48","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.parent:z.age",10,"0.22","0.00","0.71"
"64","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.chick:z.age + sex.parent:z.age",11,"0.00","1.78","0.29"
"39","sex.parent + z.age + sex.parent:z.age",8,"40.21","35.98","0.00"
"40","sex.chick + sex.parent + z.age + sex.parent:z.age",9,"38.32","36.09","0.00"
"56","sex.chick + sex.parent + z.age + sex.chick:z.age + sex.parent:z.age",10,"38.15","37.92","0.00"
"16","sex.chick + sex.parent + z.age + sex.chick:sex.parent",9,"371.55","369.32","0.00"
"32","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.chick:z.age",10,"371.47","371.25","0.00"
"12","sex.chick + sex.parent + sex.chick:sex.parent",8,"385.12","380.88","0.00"
"8","sex.chick + sex.parent + z.age",8,"416.90","412.67","0.00"
"7","sex.parent + z.age",7,"419.86","413.62","0.00"
"24","sex.chick + sex.parent + z.age + sex.chick:z.age",9,"416.87","414.64","0.00"
"6","sex.chick + z.age",7,"430.83","424.59","0.00"
"4","sex.chick + sex.parent",7,"431.03","424.80","0.00"
"3","sex.parent",6,"433.55","425.31","0.00"
"5","z.age",6,"433.56","425.32","0.00"
"22","sex.chick + z.age + sex.chick:z.age",8,"430.79","426.55","0.00"
"2","sex.chick",6,"444.79","436.55","0.00"
"1","",5,"447.13","436.89","0.00"
