"","model.name","K","d-2logL","dAICc","Akaike.weight"
"39","sex.parent + z.age + sex.parent:z.age",7,"4.64","0.00","0.28"
"48","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.parent:z.age",9,"1.17","0.53","0.21"
"64","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.chick:z.age + sex.parent:z.age",10,"0.00","1.36","0.14"
"40","sex.chick + sex.parent + z.age + sex.parent:z.age",8,"4.61","1.97","0.10"
"16","sex.chick + sex.parent + z.age + sex.chick:sex.parent",8,"5.30","2.66","0.07"
"56","sex.chick + sex.parent + z.age + sex.chick:z.age + sex.parent:z.age",9,"3.35","2.72","0.07"
"7","sex.parent + z.age",6,"9.99","3.35","0.05"
"32","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.chick:z.age",9,"4.43","3.79","0.04"
"8","sex.chick + sex.parent + z.age",7,"9.99","5.35","0.02"
"24","sex.chick + sex.parent + z.age + sex.chick:z.age",8,"9.11","6.48","0.01"
"12","sex.chick + sex.parent + sex.chick:sex.parent",7,"14.42","9.78","0.00"
"3","sex.parent",5,"19.19","10.55","0.00"
"4","sex.chick + sex.parent",6,"19.10","12.46","0.00"
"5","z.age",5,"29.25","20.61","0.00"
"6","sex.chick + z.age",6,"29.25","22.61","0.00"
"22","sex.chick + z.age + sex.chick:z.age",7,"28.30","23.66","0.00"
"1","",4,"38.67","28.03","0.00"
"2","sex.chick",5,"38.61","29.97","0.00"
