"","model.name","K","d-2logL","dAICc","Akaike.weight"
"16","sex.chick + sex.parent + z.age + sex.chick:sex.parent",8,"0.80","0.00","0.44"
"48","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.parent:z.age",9,"0.01","1.21","0.24"
"32","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.chick:z.age",9,"0.78","1.98","0.16"
"64","sex.chick + sex.parent + z.age + sex.chick:sex.parent + sex.chick:z.age + sex.parent:z.age",10,"0.00","3.20","0.09"
"12","sex.chick + sex.parent + sex.chick:sex.parent",7,"6.55","3.75","0.07"
"7","sex.parent + z.age",6,"18.24","13.43","0.00"
"39","sex.parent + z.age + sex.parent:z.age",7,"18.19","15.39","0.00"
"8","sex.chick + sex.parent + z.age",7,"18.22","15.42","0.00"
"3","sex.parent",5,"24.17","17.37","0.00"
"40","sex.chick + sex.parent + z.age + sex.parent:z.age",8,"18.18","17.38","0.00"
"24","sex.chick + sex.parent + z.age + sex.chick:z.age",8,"18.20","17.40","0.00"
"56","sex.chick + sex.parent + z.age + sex.chick:z.age + sex.parent:z.age",9,"18.16","19.36","0.00"
"4","sex.chick + sex.parent",6,"24.17","19.36","0.00"
"5","z.age",5,"62.97","56.17","0.00"
"6","sex.chick + z.age",6,"62.94","58.14","0.00"
"1","",4,"68.89","60.08","0.00"
"22","sex.chick + z.age + sex.chick:z.age",7,"62.92","60.12","0.00"
"2","sex.chick",5,"68.88","62.07","0.00"
