"","model.name","K","d-2logL","dAICc","Akaike.weight"
"7","sex.parent + yearf + z.age",8,"1.76","0.00","0.28"
"5","yearf + z.age",7,"4.25","0.49","0.22"
"6","sex.chick + yearf + z.age",8,"2.26","0.50","0.22"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.76","1.00","0.17"
"16","sex.chick + sex.parent + yearf + z.age + sex.chick:sex.parent",10,"0.00","2.24","0.09"
"3","sex.parent + yearf",7,"11.10","7.34","0.01"
"1","yearf",6,"13.83","8.07","0.00"
"2","sex.chick + yearf",7,"12.35","8.59","0.00"
"4","sex.chick + sex.parent + yearf",8,"10.51","8.75","0.00"
"12","sex.chick + sex.parent + yearf + sex.chick:sex.parent",9,"9.91","10.15","0.00"
