"","model.name","K","d-2logL","dAICc","Akaike.weight"
"6","sex.chick + yearf + z.age",8,"0.54","0.00","0.49"
"8","sex.chick + sex.parent + yearf + z.age",9,"0.07","1.53","0.23"
"5","yearf + z.age",7,"5.93","3.39","0.09"
"16","sex.chick + sex.parent + yearf + z.age + sex.chick:sex.parent",10,"0.00","3.46","0.09"
"7","sex.parent + yearf + z.age",8,"4.75","4.20","0.06"
"2","sex.chick + yearf",7,"8.80","6.25","0.02"
"4","sex.chick + sex.parent + yearf",8,"8.20","7.65","0.01"
"1","yearf",6,"13.49","8.94","0.01"
"12","sex.chick + sex.parent + yearf + sex.chick:sex.parent",9,"7.98","9.44","0.00"
"3","sex.parent + yearf",7,"12.10","9.56","0.00"
