"","model.name","K","d-2logL","dAICc","Akaike.weight"
"6","sex.chick + z.age",7,"0.87","0.00","0.35"
"5","z.age",6,"3.24","0.36","0.29"
"8","sex.chick + sex.parent + z.age",8,"0.57","1.70","0.15"
"7","sex.parent + z.age",7,"2.92","2.05","0.13"
"16","sex.chick + sex.parent + z.age + sex.chick:sex.parent",9,"0.00","3.13","0.07"
"1","",5,"18.58","13.71","0.00"
"2","sex.chick",6,"16.61","13.73","0.00"
"3","sex.parent",6,"18.16","15.28","0.00"
"4","sex.chick + sex.parent",7,"16.20","15.33","0.00"
"12","sex.chick + sex.parent + sex.chick:sex.parent",8,"15.51","16.64","0.00"
